stk,date,ret,pb,mv,rf,MarketCapRank,PB_Ratio,Size_Group,PB_Group,SMB,HML,ret_rf,rm,rmxrf,Skewness20,SharpeRatio20,S_VAL_PS,NET_ASSETS_TODAY,VOL20,WVAD
002352.SZ,2018-03-02,0.0035714285714285,2.2902142028291763,-0.941614174941979,2.6,15.5,2.2902142028291763,Small,High,-1.8565558757649945,2.364367600430497,-2.5964285714285715,-0.5873,-3.1873,1.7857110994949366,0.0117202927584139,-0.3960145536802791,0.0182965027963754,0.3811099999999944,20218.62294291186
002352.SZ,2018-07-19,-0.0008886914019106,0.2346607131149596,2.1214886845285963,1.171,153.5,0.2346607131149596,Big,High,-1.5290375532571177,2.0213075517442523,-1.1718886914019109,-0.5278,-1.6988,-0.5638943768660734,0.0139458053660068,-0.431902169058029,-0.0046359700709221,0.2427949999999942,31330.309670631053
002352.SZ,2018-08-24,0.0080291970802919,-0.0411371430080753,2.117032038703918,2.6745,207.5,-0.0411371430080753,Big,High,-2.0638871563146948,2.0119828404760494,-2.666470802919708,0.1764,-2.4981,1.548181933153106,-0.1272135462491498,-0.4463923546573356,0.0243201223797408,0.2232349999999942,5752.834087063188
002352.SZ,2018-09-12,0.0062337662337663,2.24641680356374,-0.9333940988932854,1.7722,7.5,2.24641680356374,Small,High,-2.3245292545837803,2.260234706048372,-1.7659662337662336,-0.3261,-2.0983,0.1281447828685852,-0.25745085379087,-0.4667886726044554,0.0258289291953351,0.2603999999999942,-37347.689507463256
002352.SZ,2018-09-17,0.0059686645113157,2.272741582544996,-0.940555363928021,2.511,9.5,2.272741582544996,Small,High,-1.8976103776650584,1.993601384089149,-2.5050313354886846,-1.1133,-3.6243,-0.4413012490200168,-0.0017473318289283,-0.431342050111009,0.0259590885496686,0.2718649999999942,2102.142612324802
002352.SZ,2018-09-18,0.0051915945611864,2.2392321108840845,-0.9393011990100318,1.546,8.0,2.2392321108840845,Small,High,-1.6961159727513735,2.193225762364368,-1.5408084054388136,1.8162,0.2702,-0.7898273819520789,-0.0880337787448072,-0.4416384291039766,0.0325984951059366,0.2680949999999942,18723.76849581068
002352.SZ,2018-11-05,-0.0097286226318484,2.279987207729985,-0.9427675777677496,2.278,9.0,2.279987207729985,Small,High,-2.1685085302776725,2.108146243605934,-2.2877286226318487,-0.4127,-2.6907,-1.127723932999432,-0.0944976991141443,-0.474268242895459,0.0188615907317582,0.3470899999999942,54969.55347509657
002352.SZ,2019-01-17,-0.0049079754601227,0.6688865818293953,-0.238928332520556,2.195,91.5,0.6688865818293953,Small,High,-1.923594583451254,1.9787851089455373,-2.1999079754601225,-0.4196,-2.6146,-0.8126118991223081,-0.2787905414730715,-0.5709121082628006,0.0192193901837574,0.2328099999999942,-20675.39686780508
002352.SZ,2019-03-13,-0.023960341503718,0.6724021493210094,-0.2389279957807528,1.814,63.5,0.6724021493210094,Small,High,-1.978755465543239,2.168455144096418,-1.837960341503718,-1.09,-2.904,0.220562261325107,0.1486392741162847,-0.6510163214896297,0.0058314387059524,0.6929099999999944,-132115.22171847292
002352.SZ,2019-04-04,-0.034048257372654,2.2473138564624544,-0.935040527784732,2.3595,9.5,2.2473138564624544,Small,High,-2.23803612516872,2.4325845130912342,-2.3935482573726543,0.9413,-1.4182,-0.3323402135026997,-0.0194205224453541,-0.7520317437356466,0.0740590033338294,0.5758499999999944,15576.919655710048
002352.SZ,2019-04-18,-0.0141763538417919,2.2700623218193767,-0.9443294238339008,2.003,7.5,2.2700623218193767,Small,High,-2.243968384281406,2.348630430660802,-2.017176353841792,-0.3958,-2.3988,-0.0667429081502995,-0.043938273079807,-0.7569698802518904,0.0905682850305802,0.4258249999999945,-67764.69307543518
002352.SZ,2019-05-17,-0.0245319561007102,2.289663313907491,-0.946050792731816,2.065,7.5,2.289663313907491,Small,High,-2.14660997061796,2.344197440808632,-2.08953195610071,-2.4838,-4.5488,0.0267801272476379,-0.4111571982578832,-0.7396298981177037,0.0082786784333387,0.2458299999999946,9991.483421557705
002352.SZ,2019-05-22,-0.0120796604635976,-0.06182147187179,2.1386898174587787,1.691,207.5,-0.06182147187179,Big,High,-2.099279261139115,1.8895853911794336,-1.7030796604635978,-0.4909,-2.1819,0.0463567158525063,-0.4079115968422538,-0.7402617577925981,0.0083732186061102,0.2469999999999947,-12094.60488288825
002352.SZ,2019-09-03,-0.0128490239683715,2.247314528688751,-0.9324127628959672,1.769,17.5,2.247314528688751,Small,High,-1.5970348320754,2.334561215579892,-1.7818490239683715,0.2068,-1.5621999999999998,0.306559254300536,0.3262260300087598,-0.6731104733307142,0.0720500990207085,0.4992349999999946,-63330.1236357032
002352.SZ,2019-09-27,0.031570639305446,0.3084095820923944,2.1329900449013994,2.346,238.0,0.3084095820923944,Big,High,-2.2876741434565093,2.0710643505092987,-2.314429360694554,0.1051,-2.2409,0.5488306233139395,-0.0914197327371185,-0.6879041335453373,0.0549658245625222,0.7940699999999942,-308647.05049207585
002352.SZ,2019-10-21,0.0386119257086998,0.6598315520650649,-0.3040990429700995,2.552,86.0,0.6598315520650649,Small,High,-2.090572903228296,2.108349501810823,-2.5133880742913,0.0503,-2.5017,0.7207430435484642,0.1667363653359965,-0.6462195335195928,0.0668653434253037,0.7318849999999948,78333.56160446546
002352.SZ,2019-12-02,-0.007905138339921,2.253863693079154,-0.9407958739488584,2.72,17.0,2.253863693079154,Small,High,-1.792008814382904,2.333738400440437,-2.727905138339921,0.1332,-2.5868,0.1410974567926131,-0.2324370655969453,-0.7120201274181395,0.0772579305081529,0.5228649999999946,-107451.969047443
002352.SZ,2020-02-06,0.0771971496437053,2.2678978755702377,-0.9478775987718132,1.995,17.5,2.2678978755702377,Small,High,-1.8169936123677453,2.228074744564755,-1.9178028503562947,1.7183,-0.2767000000000001,1.725128372244107,0.3621410084171262,-0.6701525737644713,0.066848740117525,0.7277699999999947,803374.1111303724
002352.SZ,2020-03-13,-0.0138454667262171,2.222263031522413,-0.9347944747584598,2.299,17.5,2.222263031522413,Small,High,-1.6280809378455805,2.2686169259945816,-2.312845466726217,-1.2334,-3.5324,1.5611314823330802,0.0724654470465357,-0.6898874097227791,0.1379807947504009,0.5908349999999947,-216858.39783770105
002352.SZ,2020-05-19,0.0280701754385965,2.2566016060996894,-0.9317991768476794,2.555,53.0,2.2566016060996894,Small,High,-1.688143558366061,2.4146571677635507,-2.526929824561404,0.8054,-1.7496,0.2618571575881042,-0.0282861344332825,-0.6863726423568509,0.0516143126315741,0.3762599999999946,-163368.59256876985
002352.SZ,2020-08-04,-0.0133934865360214,2.289650813692411,-0.946050792731816,2.167,11.0,2.289650813692411,Small,High,-1.6905148450503504,2.236642308282364,-2.1803934865360213,0.1105,-2.0565,0.1335901301734491,0.260709205415797,-0.62784270000585,0.0745251546086652,0.5496849999999947,197486.6494219092
002352.SZ,2020-08-06,-0.0240584276099097,2.2392321108840845,-0.9393011990100316,2.115,7.5,2.2392321108840845,Small,High,-2.309398477701489,2.3017527812275,-2.13905842760991,0.2634,-1.8516,0.2180924873417506,0.1968970808133694,-0.6397722605338708,0.0732016600349897,0.5380449999999947,-120479.36610439596
002352.SZ,2020-08-18,0.033734939759036,2.19926791011241,-0.941727013667758,2.151,18.5,2.19926791011241,Small,High,-1.5708050199028212,2.42518816558702,-2.117265060240964,0.3573,-1.7937,0.7219442635332105,0.0423693814031681,-0.6357324726529899,0.2845012681530076,0.4544949999999947,-71770.10464371141
