S_INFO_WINDCODE,TRADE_DT,S_DQ_CLOSE,S_FA_ROE,Skewness20,WVAD,S_VAL_PS,NET_ASSETS_TODAY,TOT_CUR_LIAB
000100.SZ,2017-11-08,4.75,5.3448,0.9887284479650856,4359349.778040492,0.5449,24597430425.0,70975709000.0
000100.SZ,2017-11-09,5.01,5.3448,0.7256291800339367,9367383.616404898,0.5747,24597430425.0,70975709000.0
000100.SZ,2017-11-10,4.98,5.3448,0.827437248503591,8862117.567238243,0.5713,24597430425.0,70975709000.0
000100.SZ,2017-11-13,4.96,5.3448,0.9939228908382276,7031807.750904903,0.569,24597430425.0,70975709000.0
000100.SZ,2017-11-14,4.82,5.3448,1.1045175330136618,514993.5988966238,0.5529,24597430425.0,70975709000.0
000100.SZ,2017-11-15,4.83,5.3448,1.3840321176011974,-1181634.5811033617,0.5541,24597430425.0,70975709000.0
000100.SZ,2017-11-16,4.86,5.3448,1.344261431350547,1283438.1159799837,0.5575,24597430425.0,70975709000.0
000100.SZ,2017-11-17,4.68,5.3448,1.180014538073877,-3167374.8976785485,0.5368,24597430425.0,70975709000.0
000100.SZ,2017-11-20,4.71,5.3448,1.4757852991786655,-1892512.574473428,0.5403,24597430425.0,70975709000.0
000100.SZ,2017-11-21,4.84,5.3448,1.2768632664131063,2089913.447526582,0.5552,24597430425.0,70975709000.0
000100.SZ,2017-11-22,4.72,5.3448,1.457629125006997,2817580.017200752,0.5414,24597430425.0,70975709000.0
000100.SZ,2017-11-23,4.31,5.3448,0.3531772997749671,-544604.066402866,0.4944,24597430425.0,70975709000.0
000100.SZ,2017-11-24,4.2,5.3448,0.4811526194998232,-2048900.0879306488,0.4818,24597430425.0,70975709000.0
000100.SZ,2017-11-27,4.14,5.3448,0.4839990606316344,-937130.3463921908,0.4749,24597430425.0,70975709000.0
000100.SZ,2017-11-28,4.23,5.3448,0.331784539124832,-737619.2101528686,0.4852,24597430425.0,70975709000.0
000100.SZ,2017-11-29,4.2,5.3448,0.2740891031591702,-4237236.224652881,0.4818,24597430425.0,70975709000.0
000100.SZ,2017-11-30,4.18,5.3448,0.3061334663973534,-3322259.056231818,0.4795,24597430425.0,70975709000.0
000100.SZ,2017-12-01,4.15,5.3448,0.4033537558474644,-624552.4792948691,0.4761,24597430425.0,70975709000.0
000100.SZ,2017-12-04,4.2,5.3448,-0.7314077951637106,873899.4520543341,0.4818,24597430425.0,70975709000.0
000100.SZ,2017-12-05,4.08,5.3448,-0.5566974259632567,494909.8452527218,0.468,24597430425.0,70975709000.0
000100.SZ,2017-12-06,4.14,5.3448,-0.6501330660987253,109389.084617801,0.4749,24597430425.0,70975709000.0
000100.SZ,2017-12-07,4.04,5.3448,-1.2815211844684242,-448738.7778821968,0.4634,24597430425.0,70975709000.0
000100.SZ,2017-12-08,4.1,5.3448,-1.274130326144381,94038.40128446749,0.4703,24597430425.0,70975709000.0
000100.SZ,2017-12-11,4.18,5.3448,-1.2409141692333068,1251040.662310104,0.4795,24597430425.0,70975709000.0
000100.SZ,2017-12-12,4.08,5.3448,-1.2764134262553306,-27106.54376132193,0.468,24597430425.0,70975709000.0
000100.SZ,2017-12-13,4.12,5.3448,-1.281073472631355,932425.7695018369,0.4726,24597430425.0,70975709000.0
000100.SZ,2017-12-14,4.07,5.3448,-1.2012384810550254,-279215.98097434925,0.4669,24597430425.0,70975709000.0
000100.SZ,2017-12-15,3.96,5.3448,-1.276369927976778,-424571.6331172084,0.4543,24597430425.0,70975709000.0
